搜索词,该干嘛,市场多大(12月卖出台),我们拿几成(每100台),卡在哪一步,派哪款机(赚钱状态),主要对手,数据可不可靠
karaoke machine,不加广告费，改主图/价格展示就能多卖,114429,约3台,看到没点,X2·薄利冲量(看7%线),CYY(约),可靠
karaoke machine for kids,现有机型吃不到，靠儿童新品(绑Q4),41219,不到1台,没被看到,S2·薄利冲量(看7%线),CYY(约),可靠
karaoke machine for adults,不加广告费，改主图/价格展示就能多卖,43248,约5台,看到没点,X2·薄利冲量(看7%线),CYY(约),可靠
kids karaoke machine,现有机型吃不到，靠儿童新品(绑Q4),13794,不到1台,没被看到,无主力·缺产品,YLL(约),可靠
portable karaoke machine,不加广告费，改主图/价格展示就能多卖,3413,约2台,看到没点,S2·薄利冲量(看7%线),CYY(约),可靠
kids karaoke,现有机型吃不到，靠儿童新品(绑Q4),2058,不到1台,没被看到,无主力·缺产品,YLL(约),尚可
karaoke machine with lyrics display,已领先，守住别被抢,2395,约16台,看到没点,X2·薄利冲量(看7%线),CYY(约),可靠
karaoke machine for kids 8-12,现有机型吃不到，靠儿童新品(绑Q4),2000,不到1台,没被看到,无主力·缺产品,CYY(约),可靠
karaoke machine kids,现有机型吃不到，靠儿童新品(绑Q4),1510,不到1台,没被看到,无主力·缺产品,Peski(约),尚可
mini karaoke machine for kids,现有机型吃不到，靠儿童新品(绑Q4),1296,不到1台,没被看到,无主力·缺产品,YLL(约),偏少·别当真
karaoke machine with screen,已领先，守住别被抢,951,约20台,看到没点,X2·薄利冲量(看7%线),CYY(约),可靠
karaoke machine for tv,不加广告费，改主图/价格展示就能多卖,761,约5台,看到没点,S2·薄利冲量(看7%线),CYY(约),可靠
kids karaoke machine for girls,现有机型吃不到，靠儿童新品(绑Q4),386,不到1台,没被看到,无主力·缺产品,YLL(约),偏少·别当真
kid karaoke machine,现有机型吃不到，靠儿童新品(绑Q4),354,不到1台,没被看到,无主力·缺产品,Peski(约),尚可
best karaoke machine for adults,已领先，守住别被抢,327,约15台,点了没买,X2·薄利冲量(看7%线),Ikarao(约),可靠
karaoke machine for adults with lyrics display,已领先，守住别被抢,209,约16台,看到没点,S3·毛利够,Ikarao(约),可靠
karaoke machine with autotune,已领先，守住别被抢,169,约13台,看到没点,S1·毛利够,PPMIC(约),可靠
kids karaoke machine for boys,现有机型吃不到，靠儿童新品(绑Q4),141,不到1台,没被看到,无主力·缺产品,BEILIHART(约),偏少·别当真
ikarao karaoke machine,自家品牌词，守住,1767,约93台,点了没买,X2·薄利冲量(看7%线),Ikarao(约),可靠
karaoke machine for adults with screen,已领先，守住别被抢,140,约21台,看到没点,S2·薄利冲量(看7%线),PPMIC(约),可靠
best karaoke machine,已领先，守住别被抢,132,约16台,点了没买,X2·薄利冲量(看7%线),Ikarao(约),可靠
karaoke machine with screen lyrics display,已领先，守住别被抢,138,约22台,看到没点,S2·薄利冲量(看7%线),PPMIC(约),可靠
professional karaoke machine,已领先，守住别被抢,126,约19台,看到没点,X2·薄利冲量(看7%线),Ikarao(约),可靠
pro karaoke machine for adults,已领先，守住别被抢,114,约14台,点了没买,X2·薄利冲量(看7%线),Ikarao(约),可靠
karaoke for kids,现有机型吃不到，靠儿童新品(绑Q4),95,不到1台,没被看到,无主力·缺产品,YLL(约),偏少·别当真
professional karaoke machine system,已领先，守住别被抢,110,约14台,看到没点,X2·薄利冲量(看7%线),Ikarao(约),尚可
girls karaoke machine,现有机型吃不到，靠儿童新品(绑Q4),81,不到1台,没被看到,无主力·缺产品,YLL(约),偏少·别当真
karaoke portable systems,已领先，守住别被抢,100,约20台,看到没点,S2·薄利冲量(看7%线),Ikarao(约),可靠
karaoke machine for girls,现有机型吃不到，靠儿童新品(绑Q4),80,不到1台,没被看到,无主力·缺产品,YLL(约),偏少·别当真
frozen karaoke machine for girls,现有机型吃不到，靠儿童新品(绑Q4),77,不到1台,没被看到,无主力·缺产品,eKids(约),偏少·别当真
karaoke machine for kids with screen,现有机型吃不到，靠儿童新品(绑Q4),68,约4台,看到没点,无主力·缺产品,CYY(约),尚可
best karaoke machine for kids,现有机型吃不到，靠儿童新品(绑Q4),58,不到1台,没被看到,无主力·缺产品,CYY(约),偏少·别当真
best rated karaoke machine for kids,现有机型吃不到，靠儿童新品(绑Q4),50,不到1台,看到没点,无主力·缺产品,CYY(约),偏少·别当真
karaoke with screen,已领先，守住别被抢,59,约19台,看到没点,S2·薄利冲量(看7%线),Ikarao(约),可靠
professional karaoke systems,已领先，守住别被抢,55,约20台,看到没点,X2·薄利冲量(看7%线),SINGTRONIC(约),可靠
ikarao smart karaoke machine for adults,自家品牌词，守住,212,约90台,点了没买,X2·薄利冲量(看7%线),Ikarao(约),可靠
portable karaoke machine for kids,现有机型吃不到，靠儿童新品(绑Q4),15,不到1台,没被看到,无主力·缺产品,YLL(约),偏少·别当真
ikaroo karaoke machine,自家品牌词，守住,208,约95台,点了没买,X2·薄利冲量(看7%线),Ikarao(约),可靠
karaoke for kids 8-12,现有机型吃不到，靠儿童新品(绑Q4),10,不到1台,没被看到,无主力·缺产品,CYY(约),偏少·别当真
ikaro karaoke machine,自家品牌词，守住,91,约90台,点了没买,S2·薄利冲量(看7%线),Ikarao(约),可靠
kids karaoke machines,现有机型吃不到，靠儿童新品(绑Q4),7,不到1台,没被看到,无主力·缺产品,ultramic(约),偏少·别当真
ikarao break x2 karaoke machine,自家品牌词，守住,160,约97台,点了没买,X2·薄利冲量(看7%线),Ikarao(约),可靠
boys karaoke machine,现有机型吃不到，靠儿童新品(绑Q4),5,不到1台,没被看到,无主力·缺产品,BEILIHART(约),偏少·别当真
